City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,kasterlee,51.2426,4.9699,0.48,83,26,1.41,BE,1674943440
162,dawson creek,55.7666,-120.2362,-14.94,75,12,4.19,CA,1674943317
163,saint-leu,-21.15,55.2833,25.48,85,99,2.53,RE,1674943440
164,dennis,41.7354,-70.1939,8.22,69,0,4.63,US,1674943441
165,qaanaaq,77.484,-69.3632,-20.37,53,14,4.16,GL,1674943441
166,nkhata bay,-11.6066,34.2907,22.98,88,100,1.72,MW,1674943443
167,thompson,55.7435,-97.8558,-22.83,90,100,4.18,CA,1674943444
168,kununurra,-15.7667,128.7333,24.99,83,100,4.12,AU,1674943445
169,xai-xai,-25.0519,33.6442,23.27,91,0,0.57,MZ,1674943447
170,beloha,-25.1667,45.05,25.07,84,100,10.2,MG,1674943448
171,ketrzyn,54.0768,21.3753,-5.38,90,63,3.54,PL,1674943256
172,den helder,52.9599,4.7593,6.1,79,100,3.58,NL,1674943292
173,kapaa,22.0752,-159.319,26.18,69,20,10.29,US,1674943451
174,mar del plata,-38.0023,-57.5575,23.24,84,0,6.26,AR,1674943451
175,port lincoln,-34.7333,135.8667,17.28,84,100,7.65,AU,1674943228
176,derzhavinsk,51.1,66.3167,-13.46,91,100,4.68,KZ,1674943453
177,ust-koksa,50.2696,85.6108,-17.08,90,49,0.48,RU,1674943454
178,san quintin,30.4833,-115.95,15.72,60,1,3.95,MX,1674943454
179,prince rupert,54.3161,-130.3201,5.37,50,0,2.68,CA,1674943455
180,carnarvon,-24.8667,113.6333,23.76,78,0,8.0,AU,1674943458
181,pisco,-13.7,-76.2167,23.03,88,20,2.06,PE,1674943461
182,broome,42.2506,-75.833,5.21,45,0,3.6,US,1674943461
183,berbera,10.4396,45.0143,24.08,75,40,3.18,SO,1674943462
184,vigrestad,58.5667,5.7,5.82,89,97,7.48,NO,1674943463
185,havre-saint-pierre,50.2334,-63.5986,-2.8,93,100,9.77,CA,1674943465
186,bereda,43.2686,-7.5406,5.23,100,73,3.66,ES,1674943466
187,gamba,-2.65,10.0,24.21,82,47,2.01,GA,1674943476
188,paamiut,61.994,-49.6678,-9.11,76,100,4.1,GL,1674943480
189,tazovskiy,67.4667,78.7,-17.17,97,100,2.75,RU,1674943482
190,norman wells,65.282,-126.8329,-21.23,91,22,3.55,CA,1674943458
191,kavaratti,10.5669,72.642,26.38,73,6,4.34,IN,1674943482
192,talnakh,69.4865,88.3972,-20.08,99,98,2.39,RU,1674943483
193,andrews,32.3187,-102.5457,19.04,22,0,6.17,US,1674943344
194,sept-iles,50.2001,-66.3821,-1.64,96,100,8.23,CA,1674943483
195,richards bay,-28.783,32.0377,23.78,89,46,7.44,ZA,1674943257
196,kobryn,52.2138,24.3564,-0.8,84,100,1.96,BY,1674943484
197,loubomo,-4.1997,12.6739,22.1,95,13,1.71,CG,1674943484
198,sibolga,1.7427,98.7792,24.11,87,100,1.49,ID,1674943484
199,florida,28.7505,-82.5001,19.39,64,100,3.09,US,1674943228
200,mahibadhoo,3.7833,72.9667,26.78,77,65,4.67,MV,1674943485
201,sakaiminato,35.55,133.2333,1.96,69,100,8.51,JP,1674943485
202,upernavik,72.7868,-56.1549,-18.84,95,100,4.93,GL,1674943485
203,rawson,-43.3002,-65.1023,28.65,26,1,2.31,AR,1674943486
204,hamilton,39.1834,-84.5333,12.97,44,40,7.72,US,1674943417
205,longos,16.1066,120.3954,20.87,74,61,4.19,PH,1674943486
206,yulara,-25.2406,130.9889,24.28,73,100,2.74,AU,1674943286
207,prado,-17.3411,-39.2208,25.07,86,89,2.98,BR,1674943487
208,abu dhabi,24.4667,54.3667,18.06,55,0,3.09,AE,1674943482
209,buala,-8.145,159.5921,27.96,76,70,1.61,SB,1674943487
210,tiznit,29.5833,-9.5,9.01,73,0,1.48,MA,1674943488
